id,name,cost,demand
PO_001,Versys® Kyo®,71.30819439077236,231.63743809698454
PO_002,Versys® Kyo® C Series,86.29665156517946,158.8129193335254
PO_003,Kyo® C Series,215.3463822223404,246.41745988145303
PO_004,Kyo® E Series,114.90788574186342,150.02414413921775
PO_005,Kyo® F Series,134.65632991539906,141.65864102626554
PO_006,Kyo® G Series,106.17575385441917,81.54250545775793
PO_007,Coronus®,178.67229643861168,164.65794179895798
PO_008,Coronus® HP,228.77406054081263,176.6289672182787
PO_009,Coronus® DX,78.81184483608273,133.89710158188586
PO_010,Exelan® Flex®,169.6420458587418,338.00391594625034
PO_011,Exelan® Flex45™,55.30220102713812,238.76929848787222
PO_012,Flex® D Series,143.62097940734893,304.86830771210776
PO_013,Flex® E Series,20.083731272425116,294.602877850172
PO_014,Flex® F Series,124.36578226425048,198.4380102490887
PO_015,Flex® G Series,56.146512193645634,106.03391021397651
PO_016,Flex® H Series,63.75376751165864,252.6495788682202
PO_017,Versys® Metal,164.9469591717037,186.31211214573906
PO_018,Versys® Metal45™,62.11875728194482,213.9687805551084
PO_019,Versys® Metal L,87.6286953539591,227.56834156993295
PO_020,Versys® Metal M,66.03650965013927,123.39706545217629
PO_021,Versys® Metal N,191.4318352948012,366.9709155131198
