id,name,cost,demand
PO_001,Versys® Kyo®,81.64056269770884,358.50313503275595
PO_002,Versys® Kyo® C Series,102.98887785936431,235.99364291291573
PO_003,Kyo® C Series,268.4623844994507,292.50279927052424
PO_004,Kyo® E Series,123.90455918085573,175.53275600473535
PO_005,Kyo® F Series,131.72359160811354,150.8410389122091
PO_006,Kyo® G Series,113.69317359755937,99.57963416026189
PO_007,Coronus®,200.89624801347628,239.77398628398132
PO_008,Coronus® HP,234.45840710106438,202.37738819324903
PO_009,Coronus® DX,96.94854007933499,174.31761028511553
PO_010,Exelan® Flex®,195.91054454988523,435.0175437611056
PO_011,Exelan® Flex45™,73.46311995140461,300.25659112882533
PO_012,Flex® D Series,168.43211484353066,363.42558289383095
PO_013,Flex® E Series,21.240833233136136,390.08964188440655
PO_014,Flex® F Series,132.4618357413478,263.3758698268039
PO_015,Flex® G Series,64.48946557740076,121.54709684778976
PO_016,Flex® H Series,72.34879363682518,369.5333365646063
PO_017,Versys® Metal,189.46886444394892,226.08462589455652
PO_018,Versys® Metal45™,81.68836266083436,194.0783445501122
PO_019,Versys® Metal L,98.81122739930652,293.0130686610094
PO_020,Versys® Metal M,70.56010494067803,141.6609730001908
PO_021,Versys® Metal N,241.62611216539278,430.80098864138813
