id,name,cost,demand
PO_001,Versys® Kyo®,81.4325587611656,255.22326543267857
PO_002,Versys® Kyo® C Series,87.41560254455437,213.48870790058754
PO_003,Kyo® C Series,238.0271995580361,260.2189862804533
PO_004,Kyo® E Series,114.30034919839495,156.79930685208987
PO_005,Kyo® F Series,125.55329709216811,155.7967347031404
PO_006,Kyo® G Series,101.60698338573805,91.01758840840051
PO_007,Coronus®,205.7285943757455,205.02686245825947
PO_008,Coronus® HP,222.78803980739283,186.85856588957657
PO_009,Coronus® DX,86.04973285564529,131.79721071299744
PO_010,Exelan® Flex®,180.69437272499985,329.40901212883693
PO_011,Exelan® Flex45™,67.62190887059482,248.80108051106225
PO_012,Flex® D Series,170.9446888727188,407.18050402754704
PO_013,Flex® E Series,21.50884285201686,318.1785445005423
PO_014,Flex® F Series,134.02039540570033,279.9221018088613
PO_015,Flex® G Series,55.2002857931669,108.73494723321505
PO_016,Flex® H Series,63.32704422539299,324.343061984926
PO_017,Versys® Metal,166.71975241832652,194.1453800592106
PO_018,Versys® Metal45™,72.03726896240646,214.51770391002194
PO_019,Versys® Metal L,96.8504338865646,277.28621259482003
PO_020,Versys® Metal M,69.10076880837094,132.30723897071593
PO_021,Versys® Metal N,220.68398052615368,416.9658024467116
